FechaObservacion,ValorObservado
2007-04-08 00:00:00,88.0
2007-04-09 00:00:00,92.0
2007-04-10 00:00:00,89.0
2007-04-11 00:00:00,87.0
2007-04-12 00:00:00,89.0
2007-04-13 01:00:00,85.0
2007-04-14 00:00:00,85.0
2007-04-15 00:00:00,85.0
2007-04-16 00:00:00,85.0
2007-04-17 00:00:00,84.0
2007-04-18 00:00:00,81.0
2007-04-19 15:00:00,79.0
2007-04-20 00:00:00,86.0
2007-04-22 14:00:00,73.0
2007-04-23 00:00:00,86.0
2007-04-24 00:00:00,81.0
2007-04-25 00:00:00,86.0
2007-04-26 00:00:00,87.0
2007-04-27 00:00:00,87.0
2007-04-28 00:00:00,86.0
2007-04-29 00:00:00,85.0
2007-04-30 00:00:00,86.0
2007-05-01 00:00:00,86.0
2007-05-02 00:00:00,86.0
2007-05-03 00:00:00,86.0
2007-05-04 00:00:00,88.0
2007-05-05 00:00:00,89.0
2007-05-06 00:00:00,85.0
2007-05-07 00:00:00,88.0
2007-05-08 00:00:00,87.0
2007-05-09 00:00:00,90.0
2007-05-10 00:00:00,89.0
2007-05-11 00:00:00,91.0
2007-05-12 00:00:00,88.0
2007-05-13 00:00:00,88.0
2007-05-14 00:00:00,88.0
2007-05-15 00:00:00,89.0
2007-05-16 00:00:00,88.0
2007-05-17 00:00:00,84.0
2007-05-18 00:00:00,85.0
2007-05-19 00:00:00,87.0
2007-05-20 00:00:00,83.0
2007-05-21 00:00:00,87.0
2007-05-22 00:00:00,87.0
2007-05-23 00:00:00,82.0
2007-05-24 00:00:00,82.0
2007-05-25 00:00:00,88.0
2007-05-26 00:00:00,85.0
2007-05-27 00:00:00,88.0
2007-05-28 00:00:00,83.0
2007-05-29 00:00:00,88.0
2007-05-30 00:00:00,94.0
2007-05-31 00:00:00,84.0
2007-06-01 08:00:00,68.0
2007-06-02 00:00:00,81.0
2007-06-03 00:00:00,89.0
2007-06-04 00:00:00,95.0
2007-06-05 00:00:00,89.0
2007-06-06 00:00:00,87.0
2007-06-07 00:00:00,75.0
2007-06-08 00:00:00,82.0
2007-06-09 00:00:00,87.0
2007-06-10 00:00:00,85.0
2007-06-11 00:00:00,84.0
2007-06-12 00:00:00,90.0
2007-06-13 00:00:00,87.0
2007-06-14 00:00:00,89.0
2007-06-15 00:00:00,83.0
2007-06-16 00:00:00,86.0
2007-06-17 00:00:00,82.0
2007-06-18 00:00:00,85.0
2007-06-19 00:00:00,77.0
2007-06-20 09:00:00,79.0
2007-06-21 00:00:00,84.0
2007-06-22 00:00:00,84.0
2007-06-23 00:00:00,85.0
2007-06-24 00:00:00,84.0
2007-06-25 00:00:00,80.0
2007-06-26 00:00:00,84.0
2007-06-27 00:00:00,87.0
2007-06-28 00:00:00,82.0
2007-06-29 00:00:00,86.0
2007-06-30 00:00:00,87.0
2007-07-01 00:00:00,87.0
2007-07-02 00:00:00,83.0
2007-07-03 00:00:00,82.0
2007-07-04 00:00:00,83.0
2007-07-05 00:00:00,86.0
2007-07-06 00:00:00,77.0
2007-07-07 00:00:00,79.0
2007-07-08 00:00:00,88.0
2007-07-09 08:00:00,84.0
2007-07-10 00:00:00,86.0
2007-07-11 00:00:00,80.0
2007-07-12 00:00:00,79.0
2007-07-13 00:00:00,81.0
2007-07-14 00:00:00,88.0
2007-07-15 00:00:00,83.0
2007-07-16 00:00:00,86.0
2007-07-17 00:00:00,85.0
2007-07-18 00:00:00,79.0
2007-07-19 00:00:00,83.0
2007-07-20 00:00:00,80.0
2007-07-21 00:00:00,88.0
2007-07-22 00:00:00,84.0
2007-07-23 00:00:00,84.0
2007-07-24 00:00:00,86.0
2007-07-25 00:00:00,82.0
2007-07-26 00:00:00,86.0
2007-07-27 00:00:00,87.0
2007-07-28 00:00:00,86.0
2007-07-29 00:00:00,84.0
2007-07-30 00:00:00,85.0
2007-07-31 00:00:00,86.0
2007-08-01 00:00:00,84.0
2007-08-02 00:00:00,86.0
2007-08-03 00:00:00,82.0
2007-08-04 00:00:00,87.0
2007-08-05 00:00:00,84.0
2007-08-06 00:00:00,82.0
2007-08-07 00:00:00,89.0
2007-08-08 00:00:00,83.0
2007-08-09 00:00:00,85.0
2007-08-10 00:00:00,85.0
2007-08-11 00:00:00,87.0
2007-08-12 00:00:00,93.0
2007-08-13 00:00:00,93.0
2007-08-14 00:00:00,87.0
2007-08-15 00:00:00,81.0
2007-08-16 00:00:00,82.0
2007-08-17 00:00:00,82.0
2007-08-18 00:00:00,85.0
2007-08-19 00:00:00,89.0
2007-08-20 00:00:00,88.0
2007-08-21 00:00:00,91.0
2007-08-22 08:00:00,82.0
2007-08-23 00:00:00,86.0
2007-08-24 00:00:00,82.0
2007-08-25 00:00:00,86.0
2007-08-26 00:00:00,94.0
2007-08-27 00:00:00,94.0
2007-08-28 00:00:00,85.0
2007-08-29 00:00:00,84.0
2007-08-30 00:00:00,87.0
2007-08-31 00:00:00,86.0
2007-09-01 00:00:00,89.0
2007-09-02 00:00:00,87.0
2007-09-03 00:00:00,86.0
2007-09-04 00:00:00,88.0
2007-09-05 00:00:00,78.0
2007-09-06 00:00:00,85.0
2007-09-07 00:00:00,82.0
2007-09-08 00:00:00,86.0
2007-09-09 00:00:00,83.0
2007-09-10 00:00:00,91.0
2007-09-11 00:00:00,83.0
2007-09-12 00:00:00,81.0
2007-09-13 00:00:00,81.0
2007-09-14 00:00:00,81.0
2007-09-15 00:00:00,86.0
2007-09-16 00:00:00,92.0
2007-09-17 00:00:00,84.0
2007-09-18 00:00:00,84.0
2007-09-19 00:00:00,86.0
2007-09-20 00:00:00,88.0
2007-09-21 00:00:00,81.0
2007-09-22 00:00:00,86.0
2007-09-23 00:00:00,87.0
2007-09-24 00:00:00,79.0
2007-09-25 00:00:00,83.0
2007-09-26 00:00:00,87.0
2007-09-27 00:00:00,92.0
2007-09-28 00:00:00,85.0
2007-09-29 00:00:00,86.0
2007-09-30 00:00:00,85.0
2007-10-01 00:00:00,86.0
2007-10-02 00:00:00,84.0
2007-10-03 00:00:00,84.0
2007-10-04 00:00:00,81.0
2007-10-05 00:00:00,89.0
2007-10-06 00:00:00,88.0
2007-10-07 00:00:00,84.0
2007-10-08 00:00:00,92.0
2007-10-09 00:00:00,86.0
2007-10-10 00:00:00,83.0
2007-10-11 00:00:00,84.0
2007-12-06 14:00:00,70.0
2007-12-17 14:00:00,70.0
2007-12-18 00:00:00,84.0
2007-12-19 00:00:00,84.0
2007-12-20 00:00:00,81.0
2007-12-21 00:00:00,81.0
2007-12-22 00:00:00,82.0
2007-12-23 00:00:00,83.0
2007-12-24 00:00:00,87.0
2007-12-25 00:00:00,83.0
2007-12-26 00:00:00,83.0
2007-12-27 00:00:00,79.0
2007-12-28 00:00:00,80.0
2007-12-29 00:00:00,81.0
2007-12-30 00:00:00,80.0
2007-12-31 00:00:00,84.0
2008-01-01 00:00:00,79.0
