FechaObservacion;ValorObservado
28/05/2007 0:00;83.0
29/05/2007 0:00;88.0
30/05/2007 0:00;94.0
31/05/2007 0:00;84.0
1/06/2007 8:00;68.0
2/06/2007 0:00;81.0
3/06/2007 0:00;89.0
4/06/2007 0:00;95.0
5/06/2007 0:00;89.0
6/06/2007 0:00;87.0
7/06/2007 0:00;75.0
8/06/2007 0:00;82.0
9/06/2007 0:00;87.0
10/06/2007 0:00;85.0
11/06/2007 0:00;84.0
12/06/2007 0:00;90.0
13/06/2007 0:00;87.0
14/06/2007 0:00;89.0
15/06/2007 0:00;83.0
16/06/2007 0:00;86.0
17/06/2007 0:00;82.0
18/06/2007 0:00;85.0
19/06/2007 0:00;77.0
20/06/2007 9:00;79.0
21/06/2007 0:00;84.0
22/06/2007 0:00;84.0
23/06/2007 0:00;85.0
24/06/2007 0:00;84.0
25/06/2007 0:00;80.0
26/06/2007 0:00;84.0
27/06/2007 0:00;87.0
28/06/2007 0:00;82.0
29/06/2007 0:00;86.0
30/06/2007 0:00;87.0
1/07/2007 0:00;87.0
2/07/2007 0:00;83.0
3/07/2007 0:00;82.0
4/07/2007 0:00;83.0
5/07/2007 0:00;86.0
6/07/2007 0:00;77.0
7/07/2007 0:00;79.0
8/07/2007 0:00;88.0
9/07/2007 8:00;84.0
10/07/2007 0:00;86.0
11/07/2007 0:00;80.0
12/07/2007 0:00;79.0
13/07/2007 0:00;81.0
14/07/2007 0:00;88.0
15/07/2007 0:00;83.0
16/07/2007 0:00;86.0
17/07/2007 0:00;85.0
18/07/2007 0:00;79.0
19/07/2007 0:00;83.0
20/07/2007 0:00;80.0
21/07/2007 0:00;88.0
22/07/2007 0:00;84.0
23/07/2007 0:00;84.0
24/07/2007 0:00;86.0
25/07/2007 0:00;82.0
26/07/2007 0:00;86.0
27/07/2007 0:00;87.0
28/07/2007 0:00;86.0
29/07/2007 0:00;84.0
30/07/2007 0:00;85.0
31/07/2007 0:00;86.0
1/08/2007 0:00;84.0
2/08/2007 0:00;86.0
3/08/2007 0:00;82.0
4/08/2007 0:00;87.0
5/08/2007 0:00;84.0
6/08/2007 0:00;82.0
7/08/2007 0:00;89.0
8/08/2007 0:00;83.0
9/08/2007 0:00;85.0
10/08/2007 0:00;85.0
11/08/2007 0:00;87.0
12/08/2007 0:00;93.0
13/08/2007 0:00;93.0
14/08/2007 0:00;87.0
15/08/2007 0:00;81.0
16/08/2007 0:00;82.0
17/08/2007 0:00;82.0
18/08/2007 0:00;85.0
19/08/2007 0:00;89.0
20/08/2007 0:00;88.0
21/08/2007 0:00;91.0
22/08/2007 8:00;82.0
23/08/2007 0:00;86.0
24/08/2007 0:00;82.0
25/08/2007 0:00;86.0
26/08/2007 0:00;94.0
27/08/2007 0:00;94.0
28/08/2007 0:00;85.0
29/08/2007 0:00;84.0
30/08/2007 0:00;87.0
31/08/2007 0:00;86.0
1/09/2007 0:00;89.0
2/09/2007 0:00;87.0
3/09/2007 0:00;86.0
4/09/2007 0:00;88.0
5/09/2007 0:00;78.0
6/09/2007 0:00;85.0
7/09/2007 0:00;82.0
8/09/2007 0:00;86.0
9/09/2007 0:00;83.0
10/09/2007 0:00;91.0
11/09/2007 0:00;83.0
12/09/2007 0:00;81.0
13/09/2007 0:00;81.0
14/09/2007 0:00;81.0
15/09/2007 0:00;86.0
16/09/2007 0:00;92.0
17/09/2007 0:00;84.0
18/09/2007 0:00;84.0
19/09/2007 0:00;86.0
20/09/2007 0:00;88.0
21/09/2007 0:00;81.0
22/09/2007 0:00;86.0
23/09/2007 0:00;87.0
24/09/2007 0:00;79.0
25/09/2007 0:00;83.0
26/09/2007 0:00;87.0
27/09/2007 0:00;92.0
28/09/2007 0:00;85.0
29/09/2007 0:00;86.0
30/09/2007 0:00;85.0
1/10/2007 0:00;86.0
2/10/2007 0:00;84.0
3/10/2007 0:00;84.0
4/10/2007 0:00;81.0
5/10/2007 0:00;89.0
6/10/2007 0:00;88.0
7/10/2007 0:00;84.0
8/10/2007 0:00;92.0
9/10/2007 0:00;86.0
10/10/2007 0:00;83.0
11/10/2007 0:00;84.0
6/12/2007 14:00;70.0
17/12/2007 14:00;70.0
18/12/2007 0:00;84.0
19/12/2007 0:00;84.0
20/12/2007 0:00;81.0
21/12/2007 0:00;81.0
22/12/2007 0:00;82.0
23/12/2007 0:00;83.0
24/12/2007 0:00;87.0
25/12/2007 0:00;83.0
26/12/2007 0:00;83.0
27/12/2007 0:00;79.0
28/12/2007 0:00;80.0
29/12/2007 0:00;81.0
30/12/2007 0:00;80.0
31/12/2007 0:00;84.0
1/01/2008 0:00;79.0
2/01/2008 0:00;78.0
3/01/2008 0:00;83.0
4/01/2008 0:00;82.0
5/01/2008 0:00;77.0
6/01/2008 0:00;82.0
7/01/2008 0:00;85.0
8/01/2008 0:00;87.0
9/01/2008 0:00;86.0
10/01/2008 0:00;83.0
11/01/2008 0:00;85.0
12/01/2008 0:00;80.0
13/01/2008 0:00;85.0
14/01/2008 0:00;87.0
15/01/2008 0:00;87.0
16/01/2008 0:00;82.0
17/01/2008 0:00;83.0
18/01/2008 0:00;78.0
19/01/2008 0:00;79.0
20/01/2008 0:00;81.0
21/01/2008 8:00;79.0
22/01/2008 17:00;81.0
23/01/2008 0:00;81.0
24/01/2008 1:00;73.0
25/01/2008 0:00;79.0
26/01/2008 0:00;83.0
27/01/2008 0:00;84.0
28/01/2008 0:00;83.0
29/01/2008 0:00;78.0
30/01/2008 1:00;85.0
31/01/2008 1:00;83.0
1/02/2008 0:00;75.0
2/02/2008 1:00;80.0
3/02/2008 0:00;80.0
4/02/2008 0:00;74.0
5/02/2008 0:00;83.0
6/02/2008 0:00;76.0
7/02/2008 2:00;81.0
